return_date,decision_date,expiry,payoff_date,asset_id,symbol,underlying,kind,moneyness_bucket,mark,strike,start_spot,payoff_raw_close,decision_split_factor,payoff_split_factor,split_factor_ratio,terminal_spot_proxy,expiry_spot_proxy,expiry_weight,payoff_proxy,option_return,delta,gamma,vega,theta,iv_proxy,expiry_days,asset_class,state_snapshot_date,underlying_or_forward,right,entry_price,vix_close_proxy_settlement,exact_minus_vix_close_proxy,terminal_forward_proxy,exit_price,settlement_source,greek_model,vx_contract,train_end_date,snap_date,symbol_rep,volume,cbbo_median_relative_spread,moneyness_bucket_rep,underlying_rep,expiry_rep,tenor_days,snap_date_borrow,borrow_rate_proxy,borrow_source,open_interest,relative_spread,relative_spread_source,holding_years,available_volume_contracts,available_oi_contracts
2015-12-31,2015-11-30,2015-12-18,2015-12-18,AAPL_call_atm,AAPL  151218C00120000,AAPL,call,atm,1.41,120.0,118.30000305175781,106.02999877929688,1.0,1.0,1.0,106.02999877929688,106.02999877929688,1.0,0.0,-1.0,0.3829277011180371,0.08304059984215312,0.09834391278522926,-0.056820231747122474,0.20458692942857745,18,equity_option,,,,,,,,,,,,,2015-11-30,AAPL  151218C00120000,2093,0.006825938566552908,atm,AAPL,2015-12-18,18,2015-11-30,0.0,option_parity_implied_borrow_proxy_same_expiry,,0.006825938566552908,panel_cbbo,0.049315068493150684,2093,
2016-01-29,2015-12-31,2016-01-15,2016-01-15,AAPL_call_atm,AAPL  160115C00105000,AAPL,call,atm,2.33,105.0,105.26000213623047,97.12999725341795,1.0,1.0,1.0,97.12999725341795,97.12999725341795,1.0,0.0,-1.0,0.5394600517169991,0.09855547980621378,0.0846127653620046,-0.09861549967576044,0.3430087958693504,15,equity_option,,,,,,,,,,,,,2015-12-31,AAPL  160115C00105000,2159,0.0076045627376425924,atm,AAPL,2016-01-15,15,2015-12-31,0.0,option_parity_implied_borrow_proxy_same_expiry,,0.0076045627376425924,panel_cbbo,0.0410958904109589,2159,
2016-02-29,2016-01-29,2016-02-19,2016-02-19,AAPL_call_atm,AAPL  160219C00100000,AAPL,call,atm,0.9,100.0,97.33999633789062,96.04000091552734,1.0,1.0,1.0,96.04000091552734,96.04000091552734,1.0,0.0,-1.0,0.27026816968849116,0.025479261924626618,0.07501018246827555,-0.031372694330976336,0.2632271903157235,21,equity_option,,,,,,,,,,,,,2016-01-29,AAPL  160219C00100000,1478,0.023255813953488393,atm,AAPL,2016-02-19,21,2016-01-29,0.32993864154183467,option_parity_implied_borrow_proxy_same_expiry,,0.023255813953488393,panel_cbbo,0.057534246575342465,1478,
2016-03-31,2016-02-29,2016-03-18,2016-03-18,AAPL_call_atm,AAPL  160318C00098000,AAPL,call,atm,1.58,98.0,96.69000244140625,105.91999816894533,1.0,1.0,1.0,105.91999816894533,105.91999816894533,1.0,7.919998168945327,4.0126570689527385,0.40906017520058513,0.20322629245608542,0.08277162301148822,-0.053038433492516246,0.2332180439591408,18,equity_option,,,,,,,,,,,,,2016-02-29,AAPL  160318C00098000,2429,0.009999999999999898,atm,AAPL,2016-03-18,18,2016-02-29,0.0,option_parity_implied_borrow_proxy_same_expiry,,0.009999999999999898,panel_cbbo,0.049315068493150684,2429,
2016-04-29,2016-03-31,2016-04-15,2016-04-15,AAPL_call_atm,AAPL  160415C00110000,AAPL,call,atm,1.25,110.0,108.98999786376953,109.8499984741211,1.0,1.0,1.0,109.8499984741211,109.8499984741211,1.0,0.0,-1.0,0.4156670492032306,0.15248935299920138,0.08820340371001402,-0.05770505073083254,0.19221802092790605,15,equity_option,,,,,,,,,,,,,2016-03-31,AAPL  160415C00110000,1863,0.013245033112582794,atm,AAPL,2016-04-15,15,2016-03-31,0.0,option_parity_implied_borrow_proxy_same_expiry,,0.013245033112582794,panel_cbbo,0.0410958904109589,1863,
2016-05-31,2016-04-29,2016-05-20,2016-05-20,AAPL_call_atm,AAPL  160520C00095000,AAPL,call,atm,1.5,95.0,93.73999786376953,95.22000122070312,1.0,1.0,1.0,95.22000122070312,95.22000122070312,1.0,0.220001220703125,-0.85333251953125,0.4003324778051728,0.16597378716513714,0.08818396122148454,-0.048831054821742326,0.2520491587996483,21,equity_option,,,,,,,,,,,,,2016-04-29,AAPL  160520C00095000,3790,0.007662835249042151,atm,AAPL,2016-05-20,21,2016-04-29,0.06292458889001003,option_parity_implied_borrow_proxy_same_expiry,,0.007662835249042151,panel_cbbo,0.057534246575342465,3790,
2016-06-30,2016-05-31,2016-06-17,2016-06-17,AAPL_call_atm,AAPL  160617C00100000,AAPL,call,atm,1.6,100.0,99.86000061035156,95.33000183105467,1.0,1.0,1.0,95.33000183105467,95.33000183105467,1.0,0.0,-1.0,0.49500280196254737,0.14779805376544317,0.08566392396166973,-0.049071183102162186,0.190468063557148,17,equity_option,,,,,,,,,,,,,2016-05-31,AAPL  160617C00100000,2492,0.0064308681672025775,atm,AAPL,2016-06-17,17,2016-05-31,0.0,option_parity_implied_borrow_proxy_same_expiry,,0.0064308681672025775,panel_cbbo,0.04657534246575343,2492,
2016-07-29,2016-06-30,2016-07-15,2016-07-15,AAPL_call_atm,AAPL  160715C00095000,AAPL,call,atm,1.54,95.0,95.5999984741211,98.77999877929688,1.0,1.0,1.0,98.77999877929688,98.77999877929688,1.0,3.779998779296875,1.4545446618810876,0.532314583121604,0.07355992656412004,0.07573220345865704,-0.035868793307441305,0.2011275450348854,15,equity_option,,,,,,,,,,,,,2016-06-30,AAPL  160715C00095000,988,0.006644518272425255,atm,AAPL,2016-07-15,15,2016-06-30,0.16799441966510176,option_parity_implied_borrow_proxy_same_expiry,,0.006644518272425255,panel_cbbo,0.0410958904109589,988,
2016-08-31,2016-07-29,2016-08-19,2016-08-19,AAPL_call_atm,AAPL  160819C00105000,AAPL,call,atm,1.05,105.0,104.20999908447266,109.36000061035156,1.0,1.0,1.0,109.36000061035156,109.36000061035156,1.0,4.3600006103515625,3.152381533668154,0.394879880459055,0.1679043249626296,0.09801391995349537,-0.03293407894267564,0.15142899411916733,21,equity_option,,,,,,,,,,,,,2016-07-29,AAPL  160819C00105000,2786,0.009661835748792277,atm,AAPL,2016-08-19,21,2016-07-29,0.03568360100347414,option_parity_implied_borrow_proxy_same_expiry,,0.009661835748792277,panel_cbbo,0.057534246575342465,2786,
2016-09-30,2016-08-31,2016-09-16,2016-09-16,AAPL_call_atm,AAPL  160916C00105000,AAPL,call,atm,2.52,105.0,106.0999984741211,114.91999816894533,1.0,1.0,1.0,114.91999816894533,114.91999816894533,1.0,9.919998168945327,2.9365072098989393,0.6009882534397687,0.150572636952665,0.08771376153217304,-0.059027309266492356,0.21034462295770648,16,equity_option,,,,,,,,,,,,,2016-08-31,AAPL  160916C00105000,1141,0.007575757575757584,atm,AAPL,2016-09-16,16,2016-08-31,0.0,option_parity_implied_borrow_proxy_same_expiry,,0.007575757575757584,panel_cbbo,0.043835616438356165,1141,
2016-10-31,2016-09-30,2016-10-21,2016-10-21,AAPL_call_atm,AAPL  161021C00115000,AAPL,call,atm,1.07,115.0,113.05000305175781,116.5999984741211,1.0,1.0,1.0,116.5999984741211,116.5999984741211,1.0,1.5999984741210938,0.49532567674868555,0.3497441588670209,0.02294194777986032,0.10150631152379297,-0.042068262911358456,0.172687161552906,21,equity_option,,,,,,,,,,,,,2016-09-30,AAPL  161021C00115000,2471,0.009132420091324207,atm,AAPL,2016-10-21,21,2016-09-30,0.0037496142600892683,option_parity_implied_borrow_proxy_same_expiry,,0.009132420091324207,panel_cbbo,0.057534246575342465,2471,
2016-11-30,2016-10-31,2016-11-18,2016-11-18,AAPL_call_atm,AAPL  161118C00115000,AAPL,call,atm,0.99,115.0,113.54000091552734,110.05999755859376,1.0,1.0,1.0,110.05999755859376,110.05999755859376,1.0,0.0,-1.0,0.34758303197783397,0.03813658958943308,0.09225457432456748,-0.04079399750084911,0.1728039843201637,18,equity_option,,,,,,,,,,,,,2016-10-31,AAPL  161118C00115000,2025,0.009389671361502356,atm,AAPL,2016-11-18,18,2016-10-31,0.046251300910212546,option_parity_implied_borrow_proxy_same_expiry,,0.009389671361502356,panel_cbbo,0.049315068493150684,2025,
2016-12-30,2016-11-30,2016-12-16,2016-12-16,AAPL_call_atm,AAPL  161216C00110000,AAPL,call,atm,2.0,110.0,110.5199966430664,115.97000122070312,1.0,1.0,1.0,115.97000122070312,115.97000122070312,1.0,5.970001220703125,1.9850006103515625,0.5574831171427147,0.010949089656354428,0.0916369910764091,-0.05292711472739664,0.17974301828145978,16,equity_option,,,,,,,,,,,,,2016-11-30,AAPL  161216C00110000,868,0.00980392156862746,atm,AAPL,2016-12-16,16,2016-11-30,0.0,option_parity_implied_borrow_proxy_same_expiry,,0.00980392156862746,panel_cbbo,0.043835616438356165,868,
2017-01-31,2016-12-30,2017-01-20,2017-01-20,AAPL_call_atm,AAPL  170120C00115000,AAPL,call,atm,2.29,115.0,115.81999969482422,120.0,1.0,1.0,1.0,120.0,120.0,1.0,5.0,1.1834061135371177,0.5756238703270791,0.04728248761007573,0.10982253974493844,-0.046548234510702,0.17292080708742139,21,equity_option,,,,,,,,,,,,,2016-12-30,AAPL  170120C00115000,1577,0.011111149215189362,atm,AAPL,2017-01-20,21,2016-12-30,0.0,option_parity_implied_borrow_proxy_same_expiry,,0.011111149215189362,panel_cbbo,0.057534246575342465,1577,
2017-02-28,2017-01-31,2017-02-17,2017-02-17,AAPL_call_atm,AAPL  170217C00125000,AAPL,call,atm,0.94,125.0,121.3499984741211,135.72000122070312,1.0,1.0,1.0,135.72000122070312,135.72000122070312,1.0,10.720001220703125,10.404256617769283,0.25226479163950194,0.010559253373880202,0.08323045623157782,-0.05305096579249291,0.2319699476599693,17,equity_option,,,,,,,,,,,,,2017-01-31,AAPL  170217C00125000,3905,0.02247191011235957,atm,AAPL,2017-02-17,17,2017-01-31,0.07105420457133925,option_parity_implied_borrow_proxy_same_expiry,,0.02247191011235957,panel_cbbo,0.04657534246575343,3905,
2017-03-31,2017-02-28,2017-03-17,2017-03-17,AAPL_call_atm,AAPL  170317C00140000,AAPL,call,atm,0.66,140.0,136.99000549316406,139.99000549316406,1.0,1.0,1.0,139.99000549316406,139.99000549316406,1.0,0.0,-1.0,0.25508007933135185,0.03637689900020616,0.09754218345875179,-0.04426317314088335,0.15069110337495803,17,equity_option,,,,,,,,,,,,,2017-02-28,AAPL  170317C00140000,948,0.015037593984962419,atm,AAPL,2017-03-17,17,2017-02-28,0.0,option_parity_implied_borrow_proxy_same_expiry,,0.015037593984962419,panel_cbbo,0.04657534246575343,948,
2017-04-28,2017-03-31,2017-04-21,2017-04-21,AAPL_call_atm,AAPL  170421C00145000,AAPL,call,atm,1.37,145.0,143.66000366210938,142.27000427246094,1.0,1.0,1.0,142.27000427246094,142.27000427246094,1.0,0.0,-1.0,0.40373116659838043,0.12052356977281292,0.12906541049038536,-0.04439978425041846,0.13908511906862261,21,equity_option,,,,,,,,,,,,,2017-03-31,AAPL  170421C00145000,947,0.012987012987012998,atm,AAPL,2017-04-21,21,2017-03-31,0.0,option_parity_implied_borrow_proxy_same_expiry,,0.012987012987012998,panel_cbbo,0.057534246575342465,947,
2017-05-31,2017-04-28,2017-05-19,2017-05-19,AAPL_call_atm,AAPL  170519C00145000,AAPL,call,atm,2.21,145.0,143.64999389648438,153.05999755859375,1.0,1.0,1.0,153.05999755859375,153.05999755859375,1.0,8.05999755859375,2.6470577188207014,0.4302829831795183,0.06001638608627865,0.1364616184536172,-0.06851349263441575,0.2119992148041725,21,equity_option,,,,,,,,,,,,,2017-04-28,AAPL  170519C00145000,1685,0.00873362445414848,atm,AAPL,2017-05-19,21,2017-04-28,0.028457852735943503,option_parity_implied_borrow_proxy_same_expiry,,0.00873362445414848,panel_cbbo,0.057534246575342465,1685,
2017-06-30,2017-05-31,2017-06-16,2017-06-16,AAPL_call_atm,AAPL  170616C00155000,AAPL,call,atm,1.18,155.0,152.75999450683594,142.27000427246094,1.0,1.0,1.0,142.27000427246094,142.27000427246094,1.0,0.0,-1.0,0.3395078929270166,0.053416229424616254,0.12027430800402004,-0.062395372252843195,0.16024196063280108,16,equity_option,,,,,,,,,,,,,2017-05-31,AAPL  170616C00155000,3000,0.015037593984962419,atm,AAPL,2017-06-16,16,2017-05-31,0.0,option_parity_implied_borrow_proxy_same_expiry,,0.015037593984962419,panel_cbbo,0.043835616438356165,3000,
2017-07-31,2017-06-30,2017-07-21,2017-07-21,AAPL_call_atm,AAPL  170721C00145000,AAPL,call,atm,2.33,145.0,144.02000427246094,150.27000427246094,1.0,1.0,1.0,150.27000427246094,150.27000427246094,1.0,5.2700042724609375,1.2618044087815181,0.4614137493145466,0.001600948497054232,0.13784995866429584,-0.06440744924018338,0.18950010348558424,21,equity_option,,,,,,,,,,,,,2017-06-30,AAPL  170721C00145000,2028,0.00858369098712447,atm,AAPL,2017-07-21,21,2017-06-30,0.0,option_parity_implied_borrow_proxy_same_expiry,,0.00858369098712447,panel_cbbo,0.057534246575342465,2028,
2017-08-31,2017-07-31,2017-08-18,2017-08-18,AAPL_call_atm,AAPL  170818C00150000,AAPL,call,atm,2.88,150.0,148.72999572753906,157.5,1.0,1.0,1.0,157.5,157.5,1.0,7.5,1.604166666666667,0.4587426664128608,0.0032163585784670285,0.13128948073184682,-0.09865889293721652,0.2686868665814399,18,equity_option,,,,,,,,,,,,,2017-07-31,AAPL  170818C00150000,1111,0.0107334525939178,atm,AAPL,2017-08-18,18,2017-07-31,0.02067743131748356,option_parity_implied_borrow_proxy_same_expiry,,0.0107334525939178,panel_cbbo,0.049315068493150684,1111,
2017-09-29,2017-08-31,2017-09-15,2017-09-15,AAPL_call_atm,AAPL  170915C00165000,AAPL,call,atm,2.47,165.0,164.0,159.8800048828125,1.0,1.0,1.0,159.8800048828125,159.8800048828125,1.0,0.0,-1.0,0.46103489886439974,0.0,0.13257731486629148,-0.10064660810602799,0.21971905399560931,15,equity_option,,,,,,,,,,,,,2017-08-31,AAPL  170915C00165000,4238,0.011560693641618424,atm,AAPL,2017-09-15,15,2017-08-31,7.446717086275082e-05,option_parity_implied_borrow_proxy_same_expiry,,0.011560693641618424,panel_cbbo,0.0410958904109589,4238,
2017-10-31,2017-09-29,2017-10-20,2017-10-20,AAPL_call_atm,AAPL  171020C00155000,AAPL,call,atm,2.23,155.0,154.1199951171875,156.25,1.0,1.0,1.0,156.25,156.25,1.0,1.25,-0.4394618834080718,0.4380908233012742,0.005840866878811598,0.1456347599301402,-0.0589868968725078,0.18906023000478744,21,equity_option,,,,,,,,,,,,,2017-09-29,AAPL  171020C00155000,2782,0.010526315789473694,atm,AAPL,2017-10-20,21,2017-09-29,0.05701385869505858,option_parity_implied_borrow_proxy_same_expiry,,0.010526315789473694,panel_cbbo,0.057534246575342465,2782,
2017-11-30,2017-10-31,2017-11-17,2017-11-17,AAPL_call_atm,AAPL  171117C00165000,AAPL,call,atm,6.85,165.0,169.0399932861328,170.14999389648438,1.0,1.0,1.0,170.14999389648438,170.14999389648438,1.0,5.149993896484375,-0.24817607350593063,0.6466610056324734,0.027701917560603737,0.13330410958807887,-0.130407091631926,0.35039485572576523,17,equity_option,,,,,,,,,,,,,2017-10-31,AAPL  171117C00165000,2442,0.014705882352941124,atm,AAPL,2017-11-17,17,2017-10-31,0.06907402569772045,option_parity_implied_borrow_proxy_same_expiry,,0.014705882352941124,panel_cbbo,0.04657534246575343,2442,
2017-12-29,2017-11-30,2017-12-15,2017-12-15,AAPL_call_atm,AAPL  171215C00175000,AAPL,call,atm,1.4,175.0,171.85000610351562,173.97000122070312,1.0,1.0,1.0,173.97000122070312,173.97000122070312,1.0,0.0,-1.0,0.2996778960953447,0.02074531571425878,0.1207063480789484,-0.06695291009680937,0.2123616037964821,15,equity_option,,,,,,,,,,,,,2017-11-30,AAPL  171215C00175000,3550,0.018348623853211024,atm,AAPL,2017-12-15,15,2017-11-30,0.18868641895033683,option_parity_implied_borrow_proxy_same_expiry,,0.018348623853211024,panel_cbbo,0.0410958904109589,3550,
2018-01-31,2017-12-29,2018-01-19,2018-01-19,AAPL_call_atm,AAPL  180119C00170000,AAPL,call,atm,2.51,170.0,169.22999572753906,178.4600067138672,1.0,1.0,1.0,178.4600067138672,178.4600067138672,1.0,8.460006713867188,2.370520603134338,0.46864993109067127,0.010901441602113556,0.16182704301664722,-0.07013052914107254,0.17287312432527538,21,equity_option,,,,,,,,,,,,,2017-12-29,AAPL  180119C00170000,3971,0.010619469026548603,atm,AAPL,2018-01-19,21,2017-12-29,0.0,option_parity_implied_borrow_proxy_same_expiry,,0.010619469026548603,panel_cbbo,0.057534246575342465,3971,
2018-02-28,2018-01-31,2018-02-16,2018-02-16,AAPL_call_atm,AAPL  180216C00167500,AAPL,call,atm,5.19,167.5,167.42999267578125,172.42999267578125,1.0,1.0,1.0,172.42999267578125,172.42999267578125,1.0,4.92999267578125,-0.05009775033116581,0.5019654084437202,0.08981988976582535,0.13881561063211698,-0.16948775544726224,0.38483849896192557,16,equity_option,,,,,,,,,,,,,2018-01-31,AAPL  180216C00167500,1440,0.02020202020202013,atm,AAPL,2018-02-16,16,2018-01-31,0.024114938341061494,option_parity_implied_borrow_proxy_same_expiry,,0.02020202020202013,panel_cbbo,0.043835616438356165,1440,
2018-04-30,2018-02-28,2018-03-16,2018-03-16,AAPL_call_atm,AAPL  180316C00180000,AAPL,call,atm,2.65,180.0,178.1199951171875,178.02000427246094,1.0,1.0,1.0,178.02000427246094,178.02000427246094,1.0,0.0,-1.0,0.43133073429169677,0.07264798711465051,0.14928961636644847,-0.11062067445182544,0.22699901970624928,16,equity_option,,,,,,,,,,,,,2018-02-28,AAPL  180316C00180000,2576,0.016528925619834652,atm,AAPL,2018-03-16,16,2018-02-28,0.0,option_parity_implied_borrow_proxy_same_expiry,,0.016528925619834652,panel_cbbo,0.043835616438356165,2576,
2018-05-31,2018-04-30,2018-05-18,2018-05-18,AAPL_call_atm,AAPL  180518C00165000,AAPL,call,atm,5.1,165.0,165.25999450683594,186.30999755859375,1.0,1.0,1.0,186.30999755859375,186.30999755859375,1.0,21.30999755859375,3.178430893841912,0.5208363422505368,0.10831875080662483,0.14505364428571638,-0.1394775335717897,0.34227090512514113,18,equity_option,,,,,,,,,,,,,2018-04-30,AAPL  180518C00165000,1475,0.02040816326530623,atm,AAPL,2018-05-18,18,2018-04-30,0.025907594581412455,option_parity_implied_borrow_proxy_same_expiry,,0.02040816326530623,panel_cbbo,0.049315068493150684,1475,
2018-06-29,2018-05-31,2018-06-15,2018-06-15,AAPL_call_atm,AAPL  180615C00187500,AAPL,call,atm,2.59,187.5,186.8699951171875,188.83999633789065,1.0,1.0,1.0,188.83999633789065,188.83999633789065,1.0,1.3399963378906534,-0.4826268965673153,0.48055930481821685,0.035734487209194185,0.15091925186539945,-0.0967046183351119,0.18078846284151076,15,equity_option,,,,,,,,,,,,,2018-05-31,AAPL  180615C00187500,5288,0.01134215500945189,atm,AAPL,2018-06-15,15,2018-05-31,0.0,option_parity_implied_borrow_proxy_same_expiry,,0.01134215500945189,panel_cbbo,0.0410958904109589,5288,
2018-07-31,2018-06-29,2018-07-20,2018-07-20,AAPL_call_atm,AAPL  180720C00190000,AAPL,call,atm,1.7,190.0,185.11000061035156,191.44000244140625,1.0,1.0,1.0,191.44000244140625,191.44000244140625,1.0,1.44000244140625,-0.15293974034926472,0.27777668677373984,0.007258194979822006,0.1484073633276995,-0.06436387481679384,0.17316994951963421,21,equity_option,,,,,,,,,,,,,2018-06-29,AAPL  180720C00190000,502,0.016085790884718395,atm,AAPL,2018-07-20,21,2018-06-29,0.0,option_parity_implied_borrow_proxy_same_expiry,,0.016085790884718395,panel_cbbo,0.057534246575342465,502,
2018-08-31,2018-07-31,2018-08-17,2018-08-17,AAPL_call_atm,AAPL  180817C00190000,AAPL,call,atm,5.5,190.0,190.2899932861328,217.5800018310547,1.0,1.0,1.0,217.5800018310547,217.5800018310547,1.0,27.580001831054688,4.014545787464488,0.5243022553223583,0.09457322852298314,0.16253653431618498,-0.1690216866637959,0.33858383554220206,17,equity_option,,,,,,,,,,,,,2018-07-31,AAPL  180817C00190000,1896,0.010152284263959354,atm,AAPL,2018-08-17,17,2018-07-31,0.008945450223326845,option_parity_implied_borrow_proxy_same_expiry,,0.010152284263959354,panel_cbbo,0.04657534246575343,1896,
2018-09-28,2018-08-31,2018-09-21,2018-09-21,AAPL_call_atm,AAPL  180921C00230000,AAPL,call,atm,4.15,230.0,227.6300048828125,217.66000366210935,1.0,1.0,1.0,217.66000366210935,217.66000366210935,1.0,0.0,-1.0,0.45629159652713086,0.020215027652729665,0.2186306146805039,-0.12614844241323508,0.2295941540360451,21,equity_option,,,,,,,,,,,,,2018-08-31,AAPL  180921C00230000,8320,0.013071895424836671,atm,AAPL,2018-09-21,21,2018-08-31,0.0,option_parity_implied_borrow_proxy_same_expiry,,0.013071895424836671,panel_cbbo,0.057534246575342465,8320,
