Strategy,Scenario,Avg contracts traded,Avg quoted spread,Avg monthly cost,Max capacity used,Rejected trades,Mean margin/NAV,Mean stress capital/NAV
Beta/delta-neutral + VIX,full_spread,56.74916809036922,0.03509309915904966,0.03198045377141552,0.9997049345720702,867,1.6454245692301974,0.11046887552661715
Beta/delta-neutral + VIX,half_spread,56.74916809036922,0.03509309915904966,0.01874611132937927,0.9997049345720702,867,1.6454245692301974,0.11046887552661715
Beta/delta-neutral + VIX,mid,56.74916809036922,0.03509309915904966,0.005511768887343023,0.9997049345720702,867,1.6454245692301974,0.11046887552661715
Equal premium,full_spread,65.36655726350517,0.03450510899698828,0.027393513458707507,0.9993803841618195,1330,0.5895061728395058,0.14737654320987645
Equal premium,half_spread,65.36655726350517,0.03450510899698828,0.017223026084595215,0.9993803841618195,1330,0.5895061728395058,0.14737654320987645
Equal premium,mid,65.36655726350517,0.03450510899698828,0.007052538710482932,0.9993803841618195,1330,0.5895061728395058,0.14737654320987645
Equal risk,full_spread,43.65715485388917,0.03490292057829765,0.02125442824856588,0.9990134907215874,1222,0.5170241047560391,0.12925602618900978
Equal risk,half_spread,43.65715485388917,0.03490292057829765,0.013262882446192645,0.9990134907215874,1222,0.5170241047560391,0.12925602618900978
Equal risk,mid,43.65715485388917,0.03490292057829765,0.005271336643819411,0.9990134907215874,1222,0.5170241047560391,0.12925602618900978
Equity-option Greek Markowitz,full_spread,18.797109490588205,0.017435798276330978,0.006679109598942776,0.9901002345178692,957,1.3950575743846914,0.07960287865721945
Equity-option Greek Markowitz,half_spread,18.797109490588205,0.017435798276330978,0.0044518190699674685,0.9901002345178692,957,1.3950575743846914,0.07960287865721945
Equity-option Greek Markowitz,mid,18.797109490588205,0.017435798276330978,0.002224528540992161,0.9901002345178692,957,1.3950575743846914,0.07960287865721945
Greek Markowitz + VIX,full_spread,49.294675424203284,0.035957144195152634,0.026579996362664688,0.9988451122012506,898,1.5123553557133067,0.10149951553572087
Greek Markowitz + VIX,half_spread,49.294675424203284,0.035957144195152634,0.01563456341722021,0.9988451122012506,898,1.5123553557133067,0.10149951553572087
Greek Markowitz + VIX,mid,49.294675424203284,0.035957144195152634,0.0046891304717757345,0.9988451122012506,898,1.5123553557133067,0.10149951553572087
VIX hedge sleeve,full_spread,2410.1807707861826,0.15,0.07580327078625228,0.9885078059495911,153,0.14999999999999997,0.03749999999999999
VIX hedge sleeve,half_spread,2410.1807707861826,0.15,0.042053270786252275,0.9885078059495911,153,0.14999999999999997,0.03749999999999999
VIX hedge sleeve,mid,2410.1807707861826,0.15,0.008303270786252284,0.9885078059495911,153,0.14999999999999997,0.03749999999999999
