return_date,strategy,scenario,asset_id,assignment_risk_flag,reason,blocked
2021-04-30,Equity-option Greek Markowitz,mid,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2021-09-30,Equity-option Greek Markowitz,mid,TSLA_put_call_near,True,deep_itm_low_extrinsic_short_option,True
2023-11-30,Equity-option Greek Markowitz,mid,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2024-02-29,Equity-option Greek Markowitz,mid,TSLA_put_call_near,True,deep_itm_low_extrinsic_short_option,True
2025-06-30,Equity-option Greek Markowitz,mid,META_call_put_wing,True,deep_itm_low_extrinsic_short_option,True
2025-11-28,Equity-option Greek Markowitz,mid,META_call_put_wing,True,deep_itm_low_extrinsic_short_option,True
2021-04-30,Beta/delta-neutral + VIX,mid,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2021-11-30,Beta/delta-neutral + VIX,mid,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2022-12-30,Beta/delta-neutral + VIX,mid,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2023-01-31,Beta/delta-neutral + VIX,mid,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2023-05-31,Beta/delta-neutral + VIX,mid,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2023-08-31,Beta/delta-neutral + VIX,mid,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2023-09-29,Beta/delta-neutral + VIX,mid,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2023-11-30,Beta/delta-neutral + VIX,mid,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2023-12-29,Beta/delta-neutral + VIX,mid,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2024-01-31,Beta/delta-neutral + VIX,mid,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2024-06-28,Beta/delta-neutral + VIX,mid,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2025-05-30,Beta/delta-neutral + VIX,mid,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2025-06-30,Beta/delta-neutral + VIX,mid,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2021-04-30,Equity-option Greek Markowitz,half_spread,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2021-09-30,Equity-option Greek Markowitz,half_spread,TSLA_put_call_near,True,deep_itm_low_extrinsic_short_option,True
2023-11-30,Equity-option Greek Markowitz,half_spread,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2024-02-29,Equity-option Greek Markowitz,half_spread,TSLA_put_call_near,True,deep_itm_low_extrinsic_short_option,True
2025-06-30,Equity-option Greek Markowitz,half_spread,META_call_put_wing,True,deep_itm_low_extrinsic_short_option,True
2025-11-28,Equity-option Greek Markowitz,half_spread,META_call_put_wing,True,deep_itm_low_extrinsic_short_option,True
2021-04-30,Beta/delta-neutral + VIX,half_spread,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2021-11-30,Beta/delta-neutral + VIX,half_spread,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2022-12-30,Beta/delta-neutral + VIX,half_spread,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2023-01-31,Beta/delta-neutral + VIX,half_spread,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2023-05-31,Beta/delta-neutral + VIX,half_spread,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2023-08-31,Beta/delta-neutral + VIX,half_spread,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2023-09-29,Beta/delta-neutral + VIX,half_spread,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2023-11-30,Beta/delta-neutral + VIX,half_spread,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2023-12-29,Beta/delta-neutral + VIX,half_spread,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2024-01-31,Beta/delta-neutral + VIX,half_spread,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2024-06-28,Beta/delta-neutral + VIX,half_spread,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2025-05-30,Beta/delta-neutral + VIX,half_spread,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2025-06-30,Beta/delta-neutral + VIX,half_spread,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2021-04-30,Equity-option Greek Markowitz,full_spread,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2021-09-30,Equity-option Greek Markowitz,full_spread,TSLA_put_call_near,True,deep_itm_low_extrinsic_short_option,True
2023-11-30,Equity-option Greek Markowitz,full_spread,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2024-02-29,Equity-option Greek Markowitz,full_spread,TSLA_put_call_near,True,deep_itm_low_extrinsic_short_option,True
2025-06-30,Equity-option Greek Markowitz,full_spread,META_call_put_wing,True,deep_itm_low_extrinsic_short_option,True
2025-11-28,Equity-option Greek Markowitz,full_spread,META_call_put_wing,True,deep_itm_low_extrinsic_short_option,True
2021-04-30,Beta/delta-neutral + VIX,full_spread,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2021-11-30,Beta/delta-neutral + VIX,full_spread,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2022-12-30,Beta/delta-neutral + VIX,full_spread,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2023-01-31,Beta/delta-neutral + VIX,full_spread,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2023-05-31,Beta/delta-neutral + VIX,full_spread,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2023-08-31,Beta/delta-neutral + VIX,full_spread,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2023-09-29,Beta/delta-neutral + VIX,full_spread,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2023-11-30,Beta/delta-neutral + VIX,full_spread,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2023-12-29,Beta/delta-neutral + VIX,full_spread,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2024-01-31,Beta/delta-neutral + VIX,full_spread,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2024-06-28,Beta/delta-neutral + VIX,full_spread,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2025-05-30,Beta/delta-neutral + VIX,full_spread,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
2025-06-30,Beta/delta-neutral + VIX,full_spread,GOOGL_call_put_near,True,deep_itm_low_extrinsic_short_option,True
